Screen,Depth,Tag,ID,Drawable,Background,Text,Include,Visibility,TextSize,TextStyle,TextColor,IndentedTag
activity_main,0,DrawerLayout,drawer_layout,,,,,visible,,,,DrawerLayout
activity_main,1,ConstraintLayout,container,,,,,visible,,,,  ConstraintLayout
activity_main,2,ConstraintLayout,constraintLayout2,,standard_background,,,visible,,,,    ConstraintLayout
activity_main,3,include,money,,,,layout_money,visible,,,,      include
activity_main,2,ConstraintLayout,containerTooltips,,,,,visible,,,,    ConstraintLayout
activity_main,3,ImageView,king_message,king_message,object_border_dim_white,,,visible,,,,      ImageView
activity_main,3,ImageView,merchant,merchant,object_border_dim_white,,,visible,,,,      ImageView
activity_main,3,ImageView,quests,quest_marker,object_border_dim_white,,,visible,,,,      ImageView
activity_main,3,ImageView,new_items,brass_circle,,,,visible,,,,      ImageView
activity_main,3,ImageView,shop,shop,object_border_dim_white,,,visible,,,,      ImageView
activity_main,3,ImageView,ad,advertisement,object_border_dim_white,,,visible,,,,      ImageView
activity_main,3,ImageView,adfree,advertisement,object_border_dim_white,,,visible,,,,      ImageView
activity_main,3,ImageView,quests_notification,brass_circle,,,,visible,,,,      ImageView
activity_main,2,ConstraintLayout,containerTutorial,,,,,visible,,,,    ConstraintLayout
activity_main,3,TextView,tutorial_body,,,,,visible,16sp,,,      TextView
activity_main,3,TextView,tutorial_title,,,tutorial_title,,visible,,bold,,      TextView
activity_main,3,ImageView,tutorial_icon,tutorial_icon,object_border_brass,,,visible,,,,      ImageView
activity_main,3,TextView,tutorial_step,,,,,visible,,bold,brass_border,      TextView
activity_main,2,ConstraintLayout,constraintLayout,,standard_background,,,visible,,,,    ConstraintLayout
activity_main,3,ImageView,menu_button,vector_menu,,,,visible,,,,      ImageView
activity_main,3,TextView,fragment_name,,,,,visible,20sp,bold,,      TextView
activity_main,3,ConstraintLayout,container_gems,,object_border_dim_white,,,visible,,,,      ConstraintLayout
activity_main,4,TextView,amount_gems,,,24,,visible,16sp,bold,,        TextView
activity_main,4,ImageView,image_gems,gem,,,,visible,,,,        ImageView
activity_main,2,bottomnavigation.BottomNavigationView,nav_view,,lower_drawer_body,,,visible,,,,    bottomnavigation.BottomNavigationView
activity_main,2,ViewPager2,pager,,,,,visible,,,,    ViewPager2
activity_main,1,navigation.NavigationView,nav_view_drawer,,lower_drawer_body,,,visible,,,,  navigation.NavigationView
custom_dialog,0,RelativeLayout,,,,,,visible,,,,RelativeLayout
custom_dialog,1,Button,dialog_button,,, Ok ,,visible,,,,  Button
dialog_bestiary,0,ConstraintLayout,,,,,,visible,,,,ConstraintLayout
dialog_bestiary,1,TextView,close,,,close,,visible,,bold,dim_white,  TextView
dialog_bestiary,1,ListView,dungeons_bestiary_list,,,,,visible,,,,  ListView
dialog_bestiary,1,ListView,raids_bestiary_list,,,,,visible,,,,  ListView
dialog_bestiary,1,RadioGroup,radioGroup,,,,,visible,,,,  RadioGroup
dialog_bestiary,2,RadioButton,radiobutton_dungeons,,,fragment_name_dungeons,,visible,,bold,,    RadioButton
dialog_bestiary,2,RadioButton,radiobutton_raids,,,fragment_name_raids,,visible,,bold,,    RadioButton
dialog_buy_from_merchant,0,ConstraintLayout,,,,,,visible,,,,ConstraintLayout
dialog_buy_from_merchant,1,TextView,confirm_text,,,,,visible,,,,  TextView
dialog_buy_from_merchant,1,TextView,cancel,,,cancel,,visible,,bold,,  TextView
dialog_buy_from_merchant,1,ConstraintLayout,price_container,,,,,visible,,,,  ConstraintLayout
dialog_buy_from_merchant,2,ConstraintLayout,container_money,,object_border_dim_white,,,visible,,,,    ConstraintLayout
dialog_buy_from_merchant,3,include,amount_money,,,,layout_money,visible,,,,      include
dialog_buy_from_merchant,2,ConstraintLayout,container_gems,,object_border_brass,,,visible,,,,    ConstraintLayout
dialog_buy_from_merchant,3,TextView,amount_gems,,,,,visible,16sp,bold,,      TextView
dialog_buy_from_merchant,3,ImageView,image_gems,gem,,,,visible,,,,      ImageView
dialog_buy_from_merchant,1,TextView,error,,,,,visible,14sp,bold,,  TextView
dialog_buy_from_merchant,1,TextView,shop,,,drawer_shop_title,,visible,,bold,brass_border,  TextView
dialog_change_trait_rare,0,ConstraintLayout,,,,,,visible,,,,ConstraintLayout
dialog_change_trait_rare,1,include,current,,,,layout_trait,visible,,,,  include
dialog_change_trait_rare,1,androidx.core.widget.NestedScrollView,scrollView,,object_border_no_background,,,visible,,,,  androidx.core.widget.NestedScrollView
dialog_change_trait_rare,2,LinearLayout,list,,,,,visible,,,,    LinearLayout
dialog_change_trait_rare,1,TextView,close,,,close,,visible,,bold,dim_white,  TextView
dialog_choose_adventurer,0,ConstraintLayout,,,,,,visible,,,,ConstraintLayout
dialog_choose_adventurer,1,androidx.core.widget.NestedScrollView,scrollView,,object_border_no_background,,,visible,,,,  androidx.core.widget.NestedScrollView
dialog_choose_adventurer,2,LinearLayout,list,,,,,visible,,,,    LinearLayout
dialog_choose_adventurer,1,TextView,close,,,close,,visible,,bold,dim_white,  TextView
dialog_choose_adventurer,1,TextView,no_adventurers,,,select_adventurer_empty,,visible,,italic|bold,,  TextView
dialog_choose_doctrine,0,ConstraintLayout,,,,,,visible,,,,ConstraintLayout
dialog_choose_doctrine,1,TextView,close,,,close,,visible,,bold,dim_white,  TextView
dialog_choose_doctrine,1,ListView,doctrine_list,,,,,visible,,,,  ListView
dialog_choose_pet,0,ConstraintLayout,,,,,,visible,,,,ConstraintLayout
dialog_choose_pet,1,GridView,pets_grid,,object_border_no_background,,,visible,,,,  GridView
dialog_choose_pet,1,TextView,close,,,close,,visible,,bold,dim_white,  TextView
dialog_choose_pet,1,TextView,no_pets,,,select_pet_empty,,visible,,italic|bold,,  TextView
dialog_collect_drops,0,ConstraintLayout,,,,,,visible,,,,ConstraintLayout
dialog_collect_drops,1,TextView,close,,,close,,visible,,bold,,  TextView
dialog_collect_drops,1,TextView,report,,,report,,visible,,bold,brass_border,  TextView
dialog_collect_drops,1,GridView,item_grid,,,,,visible,,,,  GridView
dialog_consume_evo23,0,ConstraintLayout,,,,,,visible,,,,ConstraintLayout
dialog_consume_evo23,1,androidx.core.widget.NestedScrollView,scrollView,,object_border_no_background,,,visible,,,,  androidx.core.widget.NestedScrollView
dialog_consume_evo23,2,LinearLayout,list,,,,,visible,,,,    LinearLayout
dialog_consume_evo23,1,TextView,close,,,close,,visible,,bold,dim_white,  TextView
dialog_consume_food,0,ConstraintLayout,,,,,,visible,,,,ConstraintLayout
dialog_consume_food,1,androidx.core.widget.NestedScrollView,scrollView,,object_border_no_background,,,visible,,,,  androidx.core.widget.NestedScrollView
dialog_consume_food,2,LinearLayout,list,,,,,visible,,,,    LinearLayout
dialog_consume_food,1,TextView,close,,,close,,visible,,bold,dim_white,  TextView
dialog_consume_food,1,TextView,empty_list,,,drawer_consume_food_empty_list,,visible,,italic|bold,,  TextView
dialog_consume_food,1,ConstraintLayout,selected_container,,object_border_dim_white,,,visible,,,,  ConstraintLayout
dialog_consume_food,2,include,food_selected,,,,layout_item_big,visible,,,,    include
dialog_consume_food,1,CheckBox,feed_all,,,drawer_consume_food_feed_all,,visible,,,,  CheckBox
dialog_consume_intercession,0,ConstraintLayout,,,,,,visible,,,,ConstraintLayout
dialog_consume_intercession,1,androidx.core.widget.NestedScrollView,scrollView,,object_border_no_background,,,visible,,,,  androidx.core.widget.NestedScrollView
dialog_consume_intercession,2,LinearLayout,list,,,,,visible,,,,    LinearLayout
dialog_consume_intercession,1,TextView,close,,,close,,visible,,bold,dim_white,  TextView
dialog_consume_potion,0,ConstraintLayout,,,,,,visible,,,,ConstraintLayout
dialog_consume_potion,1,androidx.core.widget.NestedScrollView,scrollView,,object_border_no_background,,,visible,,,,  androidx.core.widget.NestedScrollView
dialog_consume_potion,2,LinearLayout,list,,,,,visible,,,,    LinearLayout
dialog_consume_potion,1,TextView,close,,,close,,visible,,bold,dim_white,  TextView
dialog_consume_potion,1,TextView,empty_list,,,drawer_consume_potion_empty_list,,visible,,italic|bold,,  TextView
dialog_consume_potion,1,ConstraintLayout,selected_container,,object_border_dim_white,,,visible,,,,  ConstraintLayout
dialog_consume_potion,2,include,potion_selected,,,,layout_item_big,visible,,,,    include
dialog_consume_potion_of_clumsiness,0,ConstraintLayout,,,,,,visible,,,,ConstraintLayout
